adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001047469-10-007032	1099534	EME HOMER CITY GENERATION LP	4991	US	PA	HOMER CITY	15748	1750 POWER PLANT ROAD		724 479 9011	US	PA	HOMER CITY	15748	1750 POWER PLANT ROAD		US	PA	330826938			4-NON	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 09:12:00.0	0	0	hcg-20100630.xml	1	
0001047469-10-007034	1393744	ENERGYSOLUTIONS, INC.	4955	US	UT	SALT LAKE CITY	84101	423 WEST 300 SOUTH	SUITE 200	801-649-2000	US	UT	SALT LAKE CITY	84101	423 WEST 300 SOUTH	SUITE 200	US	DE	061782005	ENERGYSOLUTIONS GROUP, INC.	20070320	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 09:28:00.0	0	0	es-20100630.xml	1	
0001047469-10-007042	1307954	HUNTSMAN CORP	2800	US	UT	SALT LAKE CITY	84108	500 HUNTSMAN WAY		(801) 584-5700	US	UT	SALT LAKE CITY	84108	500 HUNTSMAN WAY		US	DE	421648585			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:17:00.0	0	0	hun-20100630.xml	2	1089748
0001047469-10-007043	68505	MOTOROLA INC	3663	US	IL	SCHAUMBURG	60196	1303 E ALGONQUIN RD		8475765000	US	IL	SCHAUMBURG	60196	1303 EAST ALGONQUIN ROAD		US	DE	361115800	MOTOROLA DELAWARE INC	19760414	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:25:00.0	0	1	mot-20100703.xml	1	
0001047469-10-007045	1354513	CTC MEDIA, INC.	4833	RU		MOSCOW	125124	PRAVDA STREET, 15A		7 495 785 6333	RU		MOSCOW	125124	PRAVDA STREET, 15A				581869211			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:55:00.0	0	0	ctcm-20100630.xml	1	
0001047469-10-007056	1421461	INTREPID POTASH, INC.	1400	US	CO	DENVER	80202	707 17TH STREET	SUITE 4200	303-296-3006	US	CO	DENVER	80202	707 17TH STREET	SUITE 4200	US	DE	261501877			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:16:00.0	0	0	ipi-20100630.xml	1	
0001047469-10-007068	1045309	W R GRACE & CO	2800	US	MD	COLUMBIA	21044	7500 GRACE DRIVE		410 531 4000	US	MD	COLUMBIA	21044	7500 GRACE DRIVE		US	DE	650773649	GRACE SPECIALTY CHEMICALS INC	19970902	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:50:00.0	0	0	gra-20100630.xml	1	
0001047469-10-007072	1020569	IRON MOUNTAIN INC	4220	US	MA	BOSTON	02111	745 ATLANTIC AVENUE		6175354766	US	MA	BOSTON	02111	745 ATLANTIC AVENUE		US	DE	232588479	IRON MOUNTAIN INC/PA	20000201	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:17:00.0	0	1	irm-20100630.xml	1	
0001051512-10-000030	1051512	TELEPHONE & DATA SYSTEMS INC /DE/	4813	US	IL	CHICAGO	60602	30 NORTH LASALLE STREET	STE 4000	3126301900	US	IL	CHICAGO	60602	30 NORTH LASALLE STREET	STE 4000	US	DE	362669023			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 13:03:00.0	0	0	tds-20100630.xml	1	
0001056358-10-000089	1056358	MANNATECH INC	2833	US	TX	COPPELL	75019	600 SOUTH ROYAL LANE	SUITE 200	9724717400	US	TX	COPPELL	75019	600 SOUTH ROYAL LANE	SUITE 200	US	TX	752508900			2-ACC	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:09:00.0	0	0	mtex-20100630.xml	1	
0001057877-10-000101	1057877	IDACORP INC	4911	US	ID	BOISE	83702-5627	1221 WEST IDAHO STREET		2083882200	US	ID	BOISE	83702-5627	PO BOX 70	1221 WEST IDAHO STREET	US	ID	820505802			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 08:38:00.0	0	0	ida-20100630.xml	2	49648
0001061393-10-000028	1061393	CH ENERGY GROUP INC	4931	US	NY	POUGHKEEPSIE	12601	284 SOUTH AVE		8454522000	US	NY	POUGHKEEPSIE	12601	284 SOUTH AVENUE		US	NY	141804460			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:10:00.0	0	0	chg-20100630.xml	2	18647
0001065059-10-000020	1065059	USEC INC	1400	US	MD	BETHESDA	20817	2 DEMOCRACY CENTER	6903 ROCKLEDGE DRIVE	3015643200	US	MD	BETHESDA	20817	2 DEMOCRACY CENTER	6903 ROCKLEDGE DRIVE	US	DE	522107911			1-LAF	0	1231	10-Q/A	20100630	2010	Q2	20100805	2010-08-05 17:00:00.0	0	0	usu-20100630.xml	1	
0001072613-10-000712	1084048	J2 GLOBAL COMMUNICATIONS INC	4822	US	CA	LOS ANGELES	90028	6922 HOLLYWOOD BLVD	LEGAL DEPT - 5TH FLOOR	3238609200	US	CA	LOS ANGELES	90028	6922 HOLLYWOOD BLVD	LEGAL DEPT - 5TH FLOOR	US	DE	510371142	JFAX COM INC	19990413	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:26:00.0	0	0	jcom-20100630.xml	1	
0001104659-10-041973	355429	PROTECTIVE LIFE CORP	6311	US	AL	BIRMINGHAM	35223	2801 HGWY 280 S		2052683596	US	AL	BIRMINGHAM	35202	PO BOX 2606		US	DE	952492236			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-04 18:22:00.0	0	0	pl-20100630.xml	1	
0001104659-10-042011	85974	RYLAND GROUP INC	1531	US	CA	CALABASAS	91302	24025 PARK SORRENTO	SUITE 400	8182237500							US	MD	520849948	RYAN JAMES P CO	19720414	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-04 21:01:00.0	0	0	ryl-20100630.xml	1	
0001104659-10-042034	31462	ECOLAB INC	2840	US	MN	ST PAUL	55102	ECOLAB CORPORATE CENTER	370 WABASHA STREET NORTH	6512932233	US	MN	ST. PAUL	55102	ECOLAB CORPORATE CENTER	370 WABASHA STREET NORTH	US	DE	410231510	ECONOMICS LABORATORY INC	19861203	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 06:03:00.0	0	1	ecl-20100630.xml	1	
0001104659-10-042210	46765	HELMERICH & PAYNE INC	1381	US	OK	TULSA	74114	UTICA AT 21ST ST		9187425531	US	OK	TULSA	74114	UTICA AT 21ST ST		US	DE	730679879			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 10:47:00.0	0	0	hp-20100630.xml	1	
0001104659-10-042271	920424	INVESTMENT TECHNOLOGY GROUP INC	6211	US	NY	NEW YORK	10017	380 MADISON AVE	4TH FLOOR	2125884000	US	NY	NEW YORK	10017	380 MADISON AVE	4TH FLOOR	US	DE	133757717			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:50:00.0	0	0	itg-20100630.xml	1	
0001104659-10-042282	1800	ABBOTT LABORATORIES	2834	US	IL	ABBOTT PARK	60064-3500	100 ABBOTT PARK ROAD	D-322 AP6D	8479376100							US	IL	360698440			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 13:33:00.0	0	1	abt-20100630.xml	1	
0001104659-10-042335	1289419	MORNINGSTAR, INC.	6282	US	IL	CHICAGO	60602	22 WEST WASHINGTON STREET		(312) 696-6000	US	IL	CHICAGO	60602	22 WEST WASHINGTON STREET		US	IL	363297908			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:24:00.0	0	0	morn-20100630.xml	1	
0001104659-10-042360	887730	KEMET CORP	3670	US	SC	SIMPSONVILLE	29681	2835 KEMET WAY	2835 KEMET WAY	8039636300	US	SC	GREENVILLE	29606	P O BOX 5928	P.O. BOX 5928	US	DE	570923789			2-ACC	0	0331	10-Q	20100630	2010	Q1	20100805	2010-08-05 16:01:00.0	0	0	kem-20100630.xml	1	
0001104659-10-042368	894405	ARKANSAS BEST CORP /DE/	4213	US	AR	FORT SMITH	72903	3801 OLD GREENWOOD RD		5017856000	US	AR	FORT SMITH	72902	P O BOX 48		US	DE	710673405			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:06:00.0	0	0	abfs-20100630.xml	1	
0001104659-10-042369	881464	AMYLIN PHARMACEUTICALS INC	2834	US	CA	SAN DIEGO	92121	9360 TOWNE CENTRE DR	SUITE 110	6195522200	US	CA	SAN DIEGO	92121	9360 TOWNE CENTRE DR	SUITE 110	US	DE	330266089			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:06:00.0	0	0	amln-20100630.xml	1	
0001104659-10-042382	45876	HARSCO CORP	3440	US	PA	CAMP HILL	17011	350 POPLAR CHURCH ROAD		7177637064	US	PA	CAMP HILL	17011	350 POPLAR CHURCH ROAD		US	DE	231483991			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:16:00.0	0	0	hsc-20100630.xml	1	
0001104659-10-042404	947484	ARCH CAPITAL GROUP LTD.	6331	BM		HAMILTON	HM 12	WESSEX HOUSE	45 REID STREET	441-278-9250	BM		HAMILTON	HM 12	WESSEX HOUSE	45 REID STREET			000000000	ARCH CAPITAL GROUP LTD	20000508	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:31:00.0	1	0	acgl-20100630.xml	1	
0001104659-10-042409	1053112	CABLEVISION SYSTEMS CORP /NY	4841	US	NY	BETHPAGE	11714	1111 STEWART AVENUE		5163806230	US	NY	BETHPAGE	11714	1111 STEWART AVENUE		US	DE	112776686			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:35:00.0	0	0	cvc-20100630.xml	2	784681
0001104659-10-042410	792977	AMAG PHARMACEUTICALS INC.	2835	US	MA	LEXINGTON	02140	100 HAYDEN AVENUE		6174972070	US	MA	LEXINGTON	02140	100 HAYDEN AVENUE		US	DE	042742593	ADVANCED MAGNETICS INC	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:39:00.0	0	0	amag-20100630.xml	1	
0001104659-10-042430	315709	INTERNATIONAL BANCSHARES CORP	6022	US	TX	LAREDO	78040-1359	12OO SAN BERNARDO AVE	PO BOX 1359	9567227611	US	TX	LAREDO	78040	P O BOX 1359	1200 SAN BERNARDO	US	TX	742157138			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:01:00.0	0	0	iboc-20100630.xml	1	
0001104659-10-042431	887596	CHEESECAKE FACTORY INC	5812	US	CA	CALABASAS HILLS	91301	26901 MALIBU HILLS RD		818 871-8342	US	CA	CALABASAS HILLS	91301	26901 MALIBU HILLS RD		US	DE	510340466	CHEESECAKE FACTORY INCORPORATED	19930328	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:01:00.0	0	0	cake-20100629.xml	1	
0001104659-10-042433	88205	SPX CORP	3540	US	NC	CHARLOTTE	28277	13515 BALLANTYNE CORPORATE PLACE		704-752-4400	US	NC	CHARLOTTE	28277	13515 BALLANTYNE CORPORATE PLACE		US	DE	381016240	SEALED POWER CORP	19880515	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:04:00.0	0	0	spw-20100703.xml	1	
0001104659-10-042450	1415020	THOMPSON CREEK METALS CO INC.	1000	CA	ON	TORONTO	M5H 2Y4	401 BAY STREET, SUITE 2010		(416) 860-1438	CA	ON	TORONTO	M5H 2Y4	401 BAY STREET, SUITE 2010		CA	ON	000000000			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:24:00.0	0	0	tc-20100630.xml	1	
0001140361-10-031869	1080099	INFORMATICA CORP	7372	US	CA	REDWOOD CITY	94063	100 CARDINAL WAY		6503855000	US	CA	REDWOOD CITY	94063	100 CARDINAL WAY		US	DE	770333710			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:16:00.0	0	0	infa-20100630.xml	1	
0001143068-10-000046	1143068	GREAT PLAINS ENERGY INC	4911	US	MO	KANSAS CITY	64106	1200 MAIN ST.		8165562200	US	MO	KANSAS CITY	64106-2124	1200 MAIN ST.		US	MO	431916803			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:07:00.0	0	0	gxp-20100630.xml	2	54476
0001144204-10-041613	857737	ICONIX BRAND GROUP, INC.	3140	US	NY	NEW YORK	10018	1450 BROADWAY, 4TH FL		212-730-0030	US	NY	NEW YORK	10018	1450 BROADWAY, 4TH FL		US	DE	112481903	CANDIES INC	19930604	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:44:00.0	0	0	icon-20100630.xml	1	
0001144204-10-041637	912595	MID AMERICA APARTMENT COMMUNITIES INC	6798	US	TN	MEMPHIS	38138	6584 POPLAR AVE	STE 340	9016826600	US	TN	MEMPHIS	38138	6584 POPLAR AVE	SUITE 340	US	TN	621543819			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 17:07:00.0	0	0	maa-20100630.xml	1	
0001157523-10-004814	1201792	AMERICAN PUBLIC EDUCATION INC	8200	US	WV	CHARLES TOWN	25414	111 W CONGRESS STREET		3047243700	US	WV	CHARLES TOWN	25414	111 W CONGRESS STREET		US	DE	010724376			2-ACC	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 16:06:00.0	1	0	apei-20100630.xml	1	
0001161728-10-000036	1161728	MGE ENERGY INC	4900	US	WI	MADISON	53701-1231	133 SOUTH BLAIR STREET	P.O. BOX 1231	(608) 252-7000	US	WI	MADISON	53701-1231	133 SOUTH BLAIR STREET	P.O. BOX 1231	US	WI	392040501			1-LAF	1	1231	10-Q/A	20100630	2010	Q2	20100805	2010-08-05 16:55:00.0	0	0	mgee-20100630.xml	1	
0001193125-10-177476	1267238	ASSURANT INC	6321	US	NY	NEW YORK					US	NY	NEW YORK	10005	ONE CHASE MANHATTAN PLAZA				391126612			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100805	2010-08-04 17:49:00.0	0	0	aiz-20100630.xml	1	
0001193125-10-177607	1124610	VMWARE, INC.	7372	US	CA	PALO ALTO	94304	3401 HILLVIEW AVENUE		(650) 427-5000	US	CA	PALO ALTO	94304	3401 HILLVIEW AVENUE		US	DE	943292913	VMWARE INC	20000923	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-04 19:33:00.0	0	0	vmw-20100630.xml	1	
0001193125-10-177778	54507	WESTAR ENERGY INC /KS	4931	US	KS	TOPEKA	66612	818 KANSAS AVE		7855756300	US	KS	TOPEKA	66601	P.O. BOX 889		US	KS	480290150	WESTERN RESOURCES INC /KS	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-04 21:54:00.0	0	0	wr-20100630.xml	1	
0001193125-10-178099	784977	PORTLAND GENERAL ELECTRIC CO /OR/	4911	US	OR	PORTLAND	97204	121 SW SALMON ST	1WTC0501	5034647779	US	OR	PORTLAND	97204	121 SW SALMON STREET		US	OR	930256820			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 06:15:00.0	0	0	por-20100630.xml	1	
0001193125-10-178288	891456	PLAINS EXPLORATION & PRODUCTION CO	1311	US	TX	HOUSTON	77002	700 MILAM STREET	SUITE 3100	7135796000	US	TX	HOUSTON	77002	700 MILAM STREET	SUITE 3100	US	DE	330430755	PLAINS EXPLORATION & PRODUCTION CO L P	20020619	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 07:57:00.0	0	0	pxp-20100630.xml	1	
0001193125-10-178334	859737	HOLOGIC INC	3844	US	MA	BEDFORD	01730	35 CROSBY DRIVE		7819997300	US	MA	BEDFORD	01730	35 CROSBY DRIVE		US	DE	042902449			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 08:31:00.0	0	0	holx-20100626.xml	1	
0001193125-10-178382	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 09:01:00.0	0	1	cik000008106-20100626.xml	1	
0001193125-10-178455	1339947	VIACOM INC.	4841	US	NY	NEW YORK	10036	1515 BROADWAY		(212) 258-6000	US	NY	NEW YORK	10036	1515 BROADWAY		US	DE	203515052	NEW VIACOM CORP.	20050927	1-LAF	1	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 09:46:00.0	0	1	via-20100630.xml	1	
0001193125-10-178536	729986	UNITED BANKSHARES INC/WV	6022	US	WV	CHARLESTON	25301	300 UNITED CTR	500 VIRGINIA ST E	3044248800	US	WV	CHARLESTON	25301	300 UNITED CT	500 VIRGINIA ST E	US	WV	550641179			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 10:35:00.0	0	0	ubsi-20100630.xml	1	
0001193125-10-178551	798949	UNIT CORP	1311	US	OK	TULSA	74136	1000 KENSINGTON TOWER	7130 SO LEWIS STE 1000	9184937700	US	OK	TULSA	74136	1000 KENSINGTON TOWER	7130 SO LEWIS STE 1000	US	DE	731283193			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 10:40:00.0	0	0	unt-20100630.xml	1	
0001193125-10-178552	80661	PROGRESSIVE CORP/OH/	6331	US	OH	MAYFIELD VILLAGE	44143	6300 WILSON MILLS RD		4404615000	US	OH	MAYFIELD VILLAGE	44143	6300 WILSON MILLS RD		US	OH	340963169			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 10:40:00.0	0	1	pgr-20100630.xml	1	
0001193125-10-178579	1336917	UNDER ARMOUR, INC.	2300	US	MD	BALTIMORE	21230	1020 HULL STREET	3RD FLOOR	410-454-6428	US	MD	BALTIMORE	21230	1020 HULL STREET	3RD FLOOR	US	MD	521990078			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 10:50:00.0	0	0	ua-20100630.xml	1	
0001193125-10-178584	751364	NATIONAL RETAIL PROPERTIES, INC.	6798	US	FL	ORLANDO	32801	450 S ORANGE AVE	SUITE 900	407-666-7348	US	FL	ORLANDO	32801	450 SOUTH ORANGE AVE	SUITE 900	US	MD	561431377	COMMERCIAL NET LEASE REALTY INC	19930510	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 10:52:00.0	0	0	nnn-20100630.xml	1	
0001193125-10-178632	58492	LEGGETT & PLATT INC	2510	US	MO	CARTHAGE	64836	NO. 1 LEGGETT ROAD		(417) 358-8131	US	MO	CARTHAGE	64836	NO. 1 LEGGETT ROAD		US	MO	440324630			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:08:00.0	0	0	leg-20100630.xml	1	
0001193125-10-178634	63908	MCDONALDS CORP	5812	US	IL	OAK BROOK	60523	ONE MCDONALD'S PLZ	DEPT 332	6306233154	US	IL	OAK BROOK	60523	ONE MCDONALDS PLAZA	DEPT 332	US	DE	362361282			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:11:00.0	0	1	mcd-20100630.xml	1	
0001193125-10-178651	906107	EQUITY RESIDENTIAL	6798	US	IL	CHICAGO	60606	EQUITY RESIDENTIAL	TWO NORTH RIVERSIDE PLAZA, SUITE 400	3129281178	US	IL	CHICAGO	60606	TWO NORTH RIVERSIDE PLAZA	SUITE 400	US	MD	363877868	EQUITY RESIDENTIAL PROPERTIES TRUST	19930524	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:19:00.0	0	1	eqr-20100630.xml	1	
0001193125-10-178677	1110805	NUSTAR ENERGY L.P.	4610	US	TX	SAN ANTONIO	78248	2330 NORTH LOOP 1604 WEST		2109182000	US	TX	SAN ANTONIO	78248	2330 NORTH LOOP 1604 WEST		US	DE	742956831	VALERO L P	20020110	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:33:00.0	0	0	ns-20100630.xml	1	
0001193125-10-178703	1223786	NUSTAR GP HOLDINGS, LLC	4610	US	TX	SAN ANTONIO	78248	2330 NORTH LOOP 1604 WEST		2109182000	US	TX	SAN ANTONIO	78248	2330 NORTH LOOP 1604 WEST		US	DE	850470977	VALERO GP HOLDINGS LLC	20060126	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 11:42:00.0	0	0	nsh-20100630.xml	1	
0001193125-10-178791	798354	FISERV INC	7374	US	WI	BROOKFIELD	53045	255 FISERV DR	PO BOX 979	4148795000	US	WI	BROOKFIELD	53045	255 FISERV DRIVE		US	WI	391506125			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:14:00.0	0	1	fisv-20100630.xml	1	
0001193125-10-178796	1315257	KOPPERS HOLDINGS INC.	2400	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		412-227-2001	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		US	PA	201878963	KI HOLDINGS INC.	20050124	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:17:00.0	0	0	kop-20100630.xml	1	
0001193125-10-178803	1084755	ARIBA INC	7372	US	CA	SUNNYVALE	94089	807 11TH AVENUE		6509306200	US	CA	SUNNYVALE	94089	807 11TH AVENUE		US	DE	770439730			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 12:22:00.0	0	0	arba-20100630.xml	1	
0001193125-10-178808	1168478	HEWITT ASSOCIATES INC	8742	US	IL	LINCOLNSHIRE					US	IL	LINCOLNSHIRE	60069	100 HALF DAY ROAD		US	DE	470851756			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 12:23:00.0	0	0	hew-20100630.xml	1	
0001193125-10-178827	1466258	INGERSOLL-RAND PLC	3822	IE		CO. DUBLIN	00000	170/175 LAKEVIEW DRIVE	AIRSIDE BUSINESS PARK, SWORDS,	732-652-7000	US	NJ	PISCATAWAY	08855	C/O INGERSOLL-RAND COMPANY	ONE CENTENNIAL AVENUE	IE		000000000			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:35:00.0	0	1	ir-20100630.xml	1	
0001193125-10-178859	101830	SPRINT NEXTEL CORP	4813	US	KS	OVERLAND PARK	66251	6200 SPRINT PARKWAY		800-829-0965	US	KS	OVERLAND PARK	66251	6200 SPRINT PARKWAY		US	KS	480457967	SPRINT CORP	19921222	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 12:41:00.0	0	1	s-20100630.xml	1	
0001193125-10-178972	1013462	ANSYS INC	7372	US	PA	CANONSBURG	15317	275 TECHNOLOGY DRIVE, SOUTHPOINTE		4127643304	US	PA	CANONSBURG	15317	275 TECHNOLOGY DRIVE, SOUTHPOINTE		US	DE	043219960			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 13:39:00.0	0	0	anss-20100630.xml	1	
0001193125-10-179014	1097149	ALIGN TECHNOLOGY INC	3842	US	CA	SANTA CLARA	95050	851 MARTIN AVENUE		4087381500	US	CA	SANTA CLARA	95050	851 MARTIN AVENUE		US	DE	943267295			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:02:00.0	0	0	algn-20100630.xml	1	
0001193125-10-179031	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		US	MO	440618012			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:08:00.0	0	1	orly-20100630.xml	1	
0001193125-10-179039	352541	ALLIANT ENERGY CORP	4931	US	WI	MADISON	53718-2148	4902 NORTH BILTMORE LANE	SUITE 1000	608-458-3311	US	WI	MADISON	53718-2148	4902 NORTH BILTMORE LANE	SUITE 1000	US	WI	391380265	INTERSTATE ENERGY CORP	19980427	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:11:00.0	0	0	lnt-20100630.xml	3	52485 107832
0001193125-10-179043	793952	HARLEY DAVIDSON INC	3751	US	WI	MILWAUKEE	53208	3700 W JUNEAU AVE		4143424680							US	WI	391382325			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:13:00.0	0	0	hog-20100627.xml	1	
0001193125-10-179114	927066	DAVITA INC	8090	US	CO	DENVER	80202	1551 WEWATTA STREET	6TH FLOOR	3034052100	US	CO	DENVER	80202	1551 WEWATTA STREET	6TH FLOOR	US	DE	510354549	TOTAL RENAL CARE HOLDINGS INC	19950524	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:46:00.0	0	1	dva-20100630.xml	1	
0001193125-10-179116	887936	FTI CONSULTING INC	8742	US	MD	BALTIMORE	21202	500 EAST PRATT STREET	SUITE 1400	561- 515-1900	US	FL	WEST PALM BEACH	33401	777 SOUTH FLAGLER DRIVE	SUITE 1500	US	MD	521261113	FORENSIC TECHNOLOGIES INTERNATIONAL CORP	19960306	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 14:48:00.0	0	0	fcn-20100630.xml	1	
0001193125-10-179154	943861	GOODRICH PETROLEUM CORP	1311	US	TX	HOUSTON	77002	808 TRAVIS	SUITE 1320	7137809494	US	TX	HOUSTON	77002	808 TRAVIS	SUITE 1320	US	DE	760466193			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:04:00.0	0	0	gdp-20100630.xml	1	
0001193125-10-179157	943452	WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP	3743	US	PA	WILMERDING	15148	1001 AIR BRAKE AVE		4128251000	US	PA	WILMERDING	15148	1001 AIR BRAKE AVE		US	DE	251615902	WABTEC CORP	20000114	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:05:00.0	0	0	wab-20100630.xml	1	
0001193125-10-179172	310568	MICROSEMI CORP	3674	US	CA	IRVINE	92614	2381 MORSE AVENUE		949-221-7100	US	CA	IRVINE	92614	2381 MORSE AVENUE		US	DE	952110371	MICROSEMICONDUCTOR CORP	19830323	1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 15:12:00.0	0	0	mscc-20100627.xml	1	
0001193125-10-179194	1066026	CONCUR TECHNOLOGIES INC	7372	US	WA	REDMOND	98052	6222 185TH AVE NE		4257028808	US	WA	REDMOND	98052	6222 185TH AVE NE		US	DE	911608052	PORTABLE SOFTWARE CORP	19980714	1-LAF	0	0930	10-Q	20100630	2010	Q3	20100805	2010-08-05 15:24:00.0	0	0	cnqr-20100630.xml	1	
0001193125-10-179197	840467	BECKMAN COULTER INC	3826	US	CA	BREA	92822	250 S. KRAEMER BOULEVARD		7147736907	US	CA	BREA	92822	250 S. KRAEMER BOULEVARD		US	DE	951040600	BECKMAN INSTRUMENTS INC	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100805	2010-08-05 15:25:00.0	0	0	bec-20100630.xml	1	
